delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0.4,1000,exp,30,6,2,space,0.6372528,None,600,1,[5.317218899959698],[5.317223999882117],2,6,30,4,189.2634363,,189.2485696,189.2634363,190.2636722,190.2636722,190.2636722,190.9147968,space,0.6372528,None,190.9159637,191.3291595,191.6440644,191.6267657,191.6273468,191.6440644,191.6440644,191.6440644,196.9615139,600,1,[5.317218899959698],[5.317223999882117],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.4,400,unexp,31,7,2,space,0.4988363,None,100,1,[3.2346228000242263],[3.2346280000638217],2,7,31,1,196.9775487,,196.9616763,196.9775487,197.9765204,197.9765204,197.9929238,198.4761257,space,0.4988363,None,198.4765884,198.8763021,199.1906063,199.1690542,199.169335,199.1906063,199.1906063,199.1906063,202.4254354,100,1,[3.2346228000242263],[3.2346280000638217],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.1,1000,exp,32,8,2,space,0.2823368,None,100,1,[3.3679950998630375],[3.368003999814391],2,8,32,3,202.4415495,,202.425605,202.4415495,203.440975,203.440975,203.440975,203.7249553,space,0.2823368,None,203.725363,203.8399619,204.155053,204.1389524,204.1392182,204.155053,204.155053,204.155053,207.5234196,100,1,[3.3679950998630375],[3.368003999814391],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.1,1000,exp,33,9,2,space,0.5735366,None,100,1,[2.1188268999103457],[2.118838099995628],2,9,33,9,207.539338,,207.5237436,207.539338,208.5384353,208.5384353,208.5384353,209.1218095,space,0.5735366,None,209.1223698,209.2213329,209.5362495,209.5187781,209.5190352,209.5362495,209.5362495,209.5362495,211.6554026,100,1,[2.1188268999103457],[2.118838099995628],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.1,1000,exp,34,10,2,space,1.3379571,None,350,1,[2.0856983000412583],[2.085703300079331],2,10,34,6,211.6704501,,211.6555639,211.6704501,212.6700596,212.6700596,212.6700596,214.0195731,space,1.3379571,None,214.0202989,214.1195541,214.433843,214.4163297,214.4165947,214.433843,214.433843,214.433843,216.5197475,350,1,[2.0856983000412583],[2.085703300079331],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.7,1000,exp,35,11,2,space,0.6771096,None,700,1,[1.9187391998711973],[1.9187454998027533],2,11,35,11,216.5345382,,216.5199112,216.5345382,217.5349827,217.5349827,217.5349827,218.2173759,space,0.6771096,None,218.2178992,218.9175812,219.2486322,219.2199831,219.2204262,219.2486322,219.2486322,219.2486322,221.1675847,700,1,[1.9187391998711973],[1.9187454998027533],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.4,1000,exp,36,0,3,space,0.9612321,None,300,1,[2.018424700014293],[2.01843070005998],3,0,36,10,221.1833343,,221.1677444,221.1833343,222.1830407,222.1830407,222.1830407,223.1485592,space,0.9612321,None,223.1489423,223.5490555,223.8798361,223.8497184,223.8503324,223.8798361,223.8798361,223.8798361,225.8984905,300,1,[2.018424700014293],[2.01843070005998],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.1,400,unexp,37,1,3,space,1.0784162,None,100,1,[2.168355899862945],[2.1683614999055862],3,1,37,0,225.9140697,,225.8986505,225.9140697,226.8977947,226.8977947,226.9143262,227.9807919,space,1.0784162,None,227.9816652,228.0806518,228.3947189,228.3770802,228.3776266,228.3947189,228.3947189,228.3947189,230.5632961,100,1,[2.168355899862945],[2.1683614999055862],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.1,1000,exp,38,2,3,space,1.0491268,None,300,1,[2.285071099875495],[2.2850774999242276],3,2,38,9,230.5790317,,230.5634645,230.5790317,231.5783052,231.5783052,231.5783052,232.6285779,space,1.0491268,None,232.6290586,232.7289125,233.0422513,233.0268869,233.0273928,233.0422513,233.0422513,233.0422513,235.3275349,300,1,[2.285071099875495],[2.2850774999242276],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
0.4,400,unexp,39,3,3,space,1.2689951,None,400,1,[2.484907199861482],[2.4849129000212997],3,3,39,1,235.3431938,,235.3277039,235.3431938,236.3427653,236.3427653,236.3427653,237.6268281,space,1.2689951,None,237.6276162,238.0260273,238.357209,238.3274654,238.3283842,238.357209,238.357209,238.357209,240.8423305,400,1,[2.484907199861482],[2.4849129000212997],P01,1,2025-11-12_13h44.20.500,intentional binding task,,2025.1.1,59.75536155,2025-11-12 13h44.32.683913 +0530
